類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,3.7,10,8.88,3,1580
電梯大樓,8.2,15,19.15,5,3680
公寓,31.4,5,42.37,7,4700
電梯大樓,0.5,10,15.11,3,2958
電梯大樓,12,20,42.95,7,4530
電梯大樓,6.6,14,34.73,7,2990
公寓,42.1,4,32.5,6,2380
公寓,40,4,30.31,7,1680
電梯大樓,18.9,13,17.98,5,1598
公寓,33.9,5,25.11,6.5,1250
別墅,35.6,2,65.18,11,7200
電梯大樓,4.3,10,52.87,9,5988
電梯大樓,1.2,26,23.6,7,2950
電梯大樓,2.9,13,28.63,7,2580
電梯大樓,16.7,10,18,4,1388
公寓,43,4,28.12,6,898
公寓,31.2,5,32.91,7,3800
公寓,33.2,5,31.17,6,1980
電梯大樓,8.1,7,9.15,3,1138
電梯大樓,6.6,14,32.63,7,2880
透天厝,49.9,2,39.46,16,3688
電梯大樓,11,15,35.77,2,6900
電梯大樓,7.5,5,43.79,1,5600
電梯大樓,2.8,7,23.78,7,2350
電梯大樓,31.6,7,33.29,6,3980
電梯大樓,3.7,12,37.37,2,4250
電梯大樓,7.2,15,54.95,8,6760
公寓,36.6,5,26.68,6,1580
電梯大樓,39.2,12,39.34,7,6350
公寓,30.9,5,27.83,7,2900
電梯大樓,8,19,10.05,3,2080
電梯大樓,33.5,7,13.85,7,2900
電梯大樓,22.3,9,35.09,7,3180
透天厝,8.2,3,215.13,10,22000
電梯大樓,36.2,12,11.49,4,838
公寓,28.5,5,51.45,10,3550
電梯大樓,16.6,6,7.49,2,1180
電梯大樓,5.4,5,15.69,5,1800
電梯大樓,17.5,14,37.09,6,3188
電梯大樓,25.7,12,8.12,3,768
電梯大樓,31.3,14,19.61,3,2780
公寓,36.4,5,35.45,7,2380
電梯大樓,29.1,7,17.74,2,1998
公寓,46.7,4,21.13,6,1380
電梯大樓,8.8,10,30.02,7,3850
電梯大樓,9.6,15,19.62,5,1968
電梯大樓,27.5,6,35.99,10,4780
電梯大樓,3.3,21,60.92,7,8800
公寓,38.7,5,27.89,7,1360
電梯大樓,4.3,13,17.88,5,2250
電梯大樓,1.2,15,31.45,7,4280
電梯大樓,22.3,13,52.35,11,4500
電梯大樓,5,10,8.25,2,2180
電梯大樓,33.8,7,13.59,4,1980
電梯大樓,25.1,12,37.79,5,3888
公寓,41.2,5,26.47,7,2198
公寓,41.4,4,32.14,7,2000
電梯大樓,6,18,46.32,8,8800
公寓,39,5,19.21,6,1300
公寓,44.1,4,30.66,6,1988
電梯大樓,23.1,11,34.26,7,2650
電梯大樓,31.3,6,35.37,7,4580
電梯大樓,26.7,6,45.5,8,3800
公寓,33.2,5,27.69,6,1590
公寓,37.5,5,25.79,3,1498
公寓,28.6,5,29.15,4,3280
電梯大樓,23.8,7,49.45,8,2600
電梯大樓,4.1,14,38.64,9,5750
電梯大樓,7.7,24,49.63,7,10500
公寓,36,5,28.1,2,3300
公寓,34.4,5,28.05,6,1680
電梯大樓,23.9,8,7.79,3,610
電梯大樓,26.5,13,41.39,6,3500
電梯大樓,20.4,21,11.3,3,1280
電梯大樓,14.7,7,32.53,6,5850
電梯大樓,11.6,11,14.48,7,1630
公寓,40.8,4,33.43,7,2238
電梯大樓,9.1,7,10.47,4,1580
公寓,31.9,5,27.49,7,1858
公寓,33.3,5,30.05,6,1580
電梯大樓,4.1,9,29.55,7,8888
電梯大樓,9,11,29.4,7,2680
電梯大樓,36.5,7,27.04,7,1880
透天厝,43.6,2,35.5,7,6380
電梯大樓,6.3,15,59.18,11,7850
公寓,32.6,5,29.01,6,1980
公寓,31.7,5,30.1,6,1980
公寓,36.3,5,33.01,7,2700
公寓,39.3,4,29.99,6,1900
公寓,29.2,5,36.73,7,2600
電梯大樓,22.2,11,14.39,2,1180
電梯大樓,35.2,7,29.84,7,2050
電梯大樓,4.3,13,16.19,4,2200
電梯大樓,7.9,18,26.01,6,2200
公寓,43.6,4,18.08,6,980
電梯大樓,20,11,11.68,3,890
電梯大樓,8.6,14,16.58,5,2080
電梯大樓,7.9,18,26.01,8,2180
電梯大樓,8.3,7,12.54,5,2580
電梯大樓,23.9,12,86.2,7,5980
電梯大樓,18.4,12,33.55,7,2969
電梯大樓,32,7,35.29,8,3280
電梯大樓,3,24,47.33,2,5900
公寓,32.8,5,25,5,1580
電梯大樓,23.5,8,5.65,2,550
公寓,38.9,5,27.61,6,1560
公寓,32.8,5,24.68,7,1280
電梯大樓,20.9,12,30.54,7,1980
電梯大樓,7.3,13,49.34,8,5800
電梯大樓,18.9,13,36.71,8,3480
電梯大樓,8.6,7,22.07,6,2050
公寓,37.5,5,36.07,6,2100
電梯大樓,12,20,46.16,8,4980
電梯大樓,19.3,7,25.34,6,2188
公寓,23.5,5,33.42,7,1580
電梯大樓,18.6,11,12.21,3,1368
電梯大樓,9.1,14,25.51,7,2580
電梯大樓,2.9,13,28.63,7,2680
公寓,35.7,5,27.44,6,2280
公寓,47.8,4,52.09,8,4880
電梯大樓,33.4,14,46.53,3,3998
電梯大樓,9.4,14,13.16,5,1768
公寓,43.1,4,57.62,8,4580
電梯大樓,31.8,12,31.53,6,3500
電梯大樓,7.9,14,9.19,3,990
電梯大樓,25.3,7,27.17,7,2350
電梯大樓,40.7,12,35.86,7,5468
電梯大樓,1.6,10,74.54,8.5,21070
電梯大樓,27.9,16,44,8,4800
電梯大樓,10,11,8.39,2,1198
電梯大樓,24.6,7,62.39,6,3750
電梯大樓,21.4,10,14.71,4,1493
電梯大樓,39.1,11,6.96,3,799
電梯大樓,39.2,7,102.63,6.5,7980
電梯大樓,29.3,7,83.13,2,4500
電梯大樓,8.7,14,39.09,8,5200
電梯大樓,8.6,14,15.19,5,1980
電梯大樓,6.6,18,42.41,8,8200
電梯大樓,24.3,20,39.28,7,2880
電梯大樓,8.6,15,10.17,4,1999
電梯大樓,1.6,10,59.32,9.5,15338
別墅,6.1,5,116.79,7,19600
電梯大樓,23.5,3,35.34,7,3998
公寓,37.6,4,30.03,7,1500
電梯大樓,13.5,14,32.37,8,3980
電梯大樓,35.5,7,33.38,7,2550
公寓,47.6,4,49.47,9,4380
電梯大樓,19.9,13,33.91,8,3850
