總坪數,價位（萬）
23.78,2350
35.47,1880
23.8,4270
9.01,1310
66.62,9350
45.55,3988
31.13,1550
17.71,3180
32.46,3980
22.49,3980
76.62,4510
35.1,3488
35.77,1880
29.04,2180
33.13,1380
16.72,2590
34.51,3888
34.13,4888
29.58,1188
41.4,2400
49.77,7300
34.63,4288
7.3,1552
30.25,1888
14.16,1190
45.08,3370
21.66,1710
35.66,3460
19.09,1260
10.97,980
37.92,1880
28.51,1480
8.59,1200
8.68,699
49.87,5288
8.5,950
40.77,8480
21.03,3980
7.52,835
42.21,6580
27.83,5500
36.27,1798
35.47,11500
32.79,1635
21.61,3980
17.65,1980
28.15,3280
26.53,1390
47.51,6668
25.93,1780
10.83,1650
19.17,1868
31.63,1988
10.74,1680
26.06,2380
17.01,2160
35.31,1680
25.56,3980
23.87,2999
21.92,2083
31.56,5585
33.41,4295
16.59,2680
28.2,3088
9.96,860
46.28,2900
31.76,2920
84.54,21100
12.63,2188
25.93,2699
25.01,1688
13.09,1963
22.47,2770
25.61,2535
14.71,2600
142.51,11400
7.9,780
14.12,1880
48.41,6650
15.83,1920
20.98,1398
14.4,2068
17.46,2688
7.79,1298
14.76,1320
9.4,999
9.16,880
39.89,3980
77.6,16500
27.46,2600
66.19,9980
51.89,4500
44.61,3980
17.86,2480
27.66,1580
47.07,4580
4.25,1150
32.52,5200
18.09,1800
27.54,5440
29.7,2768
41.51,4750
4.81,595
17.19,1800
30.75,4680
38.42,2788
29.67,3980
28.39,3073
9.45,1780
37.96,3200
26.1,6500
15.77,2180
7.48,880
22.8,1230
78.09,5980
17.58,3300
37.09,3688
31.16,2668
31.88,1680
31.87,6900
16.24,1930
64.6,14288
12.82,1247
24.42,3850
39.49,3500
35.31,2980
8.85,830
9.73,638
22.26,2288
40.57,4380
31.52,1420
9.11,650
38.2,3820
42.46,3880
31.88,2680
20.56,998
16.22,2380
7.81,1100
15.02,800
11,1150
27.27,1180
29.55,1560
21.62,1400
13.77,1490
24.79,1350
29.76,1398
40.03,4780
27.74,2366
30.24,1700
7.32,1720
45.2,2470
33.98,3268
27.41,1199
29.42,1980
75.83,9800
57.58,3380
24.66,2680
52.25,9999
36.04,1650
34.38,2988
37.65,3450
31.71,2588
33.09,2568
24.19,1280
9.33,1460
29.59,2688
29.4,3380
5.44,750
5.28,1330
47.3,2800
16.28,9500
6.88,710
9.83,1130
5.94,1100
11.98,1820
34.54,6600
